index,country,Date,population_growth_annual_percent.,population_total.,population_density_per_square_km.,total_gdp_us_inflation_adjusted.,gdppercapita_us_inflation_adjusted.,children_and_elderly_per_100_adults.,life_expectancy_years.,child_mortality_0_5_year_olds_dying_per_1000_born.,gdp_total_yearly_growth.
2780,Sri Lanka,2001,-0.9144039743936622,-0.10667695186923158,1.0494810685068956,-0.32777377039656574,-0.547150674381759,-1.2342970750693025,0.6705635978133835,-0.7992704775627449,-0.975600567542131
2781,Sri Lanka,2002,-0.8482226255932191,-0.10106498258761841,1.0607904626245674,-0.32560829218733606,-0.5431390014122562,-1.250189617680272,0.6912585170678218,-0.8052521557202874,0.23285361371760263
2782,Sri Lanka,2003,-0.807977210782139,-0.09825899794681182,1.0720998567422395,-0.3223600748734916,-0.537121491958002,-1.2607846460875844,0.7533432748311356,-0.8082429947990588,0.672291497812051
2783,Sri Lanka,2004,-0.807977210782139,-0.09264702866519865,1.0890639479187474,-0.3192665345745921,-0.5311039825037478,-1.2607846460875844,0.28770759160627807,-0.59888425928507,0.5708827553287168
2784,Sri Lanka,2005,-0.837490514976931,-0.08984104402439207,1.1003733420364192,-0.3155542862159127,-0.5237492487263261,-1.2660821602912409,0.7533432748311356,-0.8231971901929152,0.6913056370276763
2785,Sri Lanka,2006,-0.8723698744798672,-0.0842290747427789,1.1173374332129273,-0.3106046217376735,-0.5137200663025691,-1.255487131883928,0.7843856537127939,-0.8336651269686145,1.0314474607738602
2786,Sri Lanka,2007,-0.9000944935719446,-0.08142309010197231,1.1286468273305992,-0.3058096342743793,-0.504359496040396,-1.250189617680272,0.8154280325944508,-0.844133063744314,0.8349680222123999
2787,Sri Lanka,2008,-0.9296077977667369,-0.07861710546116572,1.1399562214482712,-0.30147867785592,-0.49633615010139037,-1.2448921034766156,0.7429958152039171,-0.8546010005200133,0.6427139479210786
2788,Sri Lanka,2009,-0.959121101961529,-0.07300513617955255,1.151265615565943,-0.2986944915869104,-0.49098725280871997,-1.239594589272959,0.7326483555766986,-0.8620780982169415,0.12299414269399041
2789,Sri Lanka,2010,-0.9895287487076784,-0.07019915153874597,1.1625750096836152,-0.29219805695922146,-0.4782836217386278,-1.228999560865646,0.7843856537127939,-0.8695551959138696,1.0631376927999021
2790,St. Lucia,1980,-0.24006969067022993,-0.6336969871055246,0.4331190890937743,-0.37925182774040284,-0.428137709619843,1.266129629056507,0.21527537421574583,-0.5764529661942855,-1.8396875607855419
2791,St. Lucia,1981,-0.32950394580596354,-0.6336408674127084,0.4500831802702822,-0.3792100649463677,-0.41677130287291847,1.1019066887431594,0.2463177530974027,-0.6018750983638412,-0.11996430283899796
2792,St. Lucia,1982,-0.3742210733738304,-0.6336128075663003,0.46704727144679015,-0.37919614401502266,-0.4147654663881671,0.9694688336517501,0.28770759160627807,-0.6228109719152402,-0.03968238170635834
2793,St. Lucia,1983,-0.3742210733738304,-0.6335566878734843,0.47835666556446205,-0.37916211507173475,-0.4060735082875777,0.8582210353749657,0.3187499704879364,-0.6407560063878678,0.5096149734117024
2794,St. Lucia,1984,-0.2847868182380968,-0.6335286280270762,0.49532075674097,-0.37910797811650404,-0.3913640407327342,0.7787583223201201,0.32909743011515485,-0.6572056213211097,0.7884890152408717
2795,St. Lucia,1985,-0.15063543553449613,-0.63347250833426,0.512284847917478,-0.37904301377022714,-0.3733115123699716,0.7310806944872131,0.36013980899681175,-0.672159816714966,0.9342640825606645
2796,St. Lucia,1986,0.010346223709824498,-0.6333883287950358,0.5349036361528218,-0.3789223656985701,-0.33720645564444657,0.5774527825811779,0.40152964750568854,-0.6856185925694368,2.9096218788506136
2797,St. Lucia,1987,0.12661075538627845,-0.6333322091022197,0.5575224243881657,-0.3788806029045349,-0.32985172186702477,0.47680001271170724,0.422224566760127,-0.6960865293451363,-0.05869652092198349
2798,St. Lucia,1988,0.15344103192699837,-0.6332480295629955,0.5801412126235096,-0.3787429403612339,-0.29174082865674833,0.40793232806417373,0.4532669456417838,-0.70505904658145,2.381451345083248
2799,St. Lucia,1989,0.07295020230483816,-0.6331919098701794,0.6027600008588535,-0.3786377599910713,-0.2649963421933964,0.3708497286385797,0.49465678415065917,-0.7125361442783782,0.9279260361554563
2800,St. Lucia,1990,-0.0790880314259093,-0.6331357901773632,0.6253787890941974,-0.3785124716089659,-0.23223434627579034,0.35495718602760995,0.5256991630323176,-0.7170224028965351,-0.014330196085524749
2801,St. Lucia,1991,-0.26689996721095005,-0.6330796704845472,0.6423428802707053,-0.37850473775821863,-0.2355774070837093,0.2860895013800772,0.5463940822867545,-0.7200132419753064,-0.5283457595479254
2802,St. Lucia,1992,-0.4189382009416973,-0.633023550791731,0.6593069714472133,-0.3783949170776077,-0.20816430845877362,0.2384118735471703,0.5670890015411929,-0.7230040810540777,0.8814470291839279
2803,St. Lucia,1993,-0.5083724560774311,-0.6329674310989148,0.6706163655648852,-0.37838563645671097,-0.210170144943525,0.2013292741215755,0.5981313804228497,-0.7274903396722345,-0.6008107567808081
2804,St. Lucia,1994,-0.49942903056385773,-0.6329393712525068,0.6875804567413931,-0.3783593413641703,-0.20749569629718984,0.1695441888996368,0.6188262996772882,-0.7334720178297771,-0.25306327734837425
2805,St. Lucia,1995,-0.4368250519688441,-0.6328832515596906,0.7045445479179011,-0.37833768658207806,-0.20548985981243842,0.13246158947404277,0.660216138186165,-0.7394536959873196,-0.3713734769122642
