index,country,Date,population_growth_annual_percent.,population_total.,population_density_per_square_km.,total_gdp_us_inflation_adjusted.,gdppercapita_us_inflation_adjusted.,children_and_elderly_per_100_adults.,life_expectancy_years.,child_mortality_0_5_year_olds_dying_per_1000_born.,gdp_total_yearly_growth.
56,Jordan,2010,3.077941174865491,-0.4355383517717635,-0.2007724512017385,-0.3390651924875489,-0.42011436368083743,-0.21717434796727855,0.9292500884938598,-0.721508661514692,-0.07559797800253922
57,Kenya,2010,0.9046887750671616,0.5246695923122503,-0.24714096708419353,-0.3180291184550323,-0.6015088431185217,0.5721552683775218,-0.41591966304461747,-0.10689123082719656,0.5560939803832305
58,Lesotho,2010,-0.5978067112131648,-0.579765962309222,-0.2782418009077914,-0.3762031437758374,-0.5879360162383707,0.021213791197258403,-2.1025555822813233,0.45389109644241604,0.5244037483571887
59,Madagascar,2010,0.958349328148602,-0.0421393051306801,-0.4524064703199394,-0.366396621028326,-0.6385499568702641,0.7522707513018382,-0.6228688555889986,-0.10689123082719656,-0.5097541567593141
60,Malawi,2010,1.1729915404743627,-0.21049838357907527,0.25216878321102304,-0.36913440419285204,-0.6354743409269786,1.3614848847223215,-1.4196232468848655,0.3163124988189377,0.7504607368096212
61,Malaysia,2010,0.09083705333198491,0.15147363508497433,-0.1741953750252095,0.014526463676663926,-0.05973240858717056,-1.2978672455131792,0.7947331133400124,-0.9189040407135957,0.8096158365915663
62,Mali,2010,1.2892560721508168,-0.21330436821988186,-0.5881191997320028,-0.36334948383390997,-0.618825898103542,1.446245111980824,-0.757385830742846,1.0116825846332573,0.5687700731936475
63,Malta,2010,-1.0977441974219162,-0.6253351528759209,6.692868733225199,-0.36638115332683147,0.7446080217981379,-1.276677188698554,1.3948857717187173,-0.9353536556468376,-0.024893606760872128
64,Mauritania,2010,1.0567270087979088,-0.5357120034485586,-0.6384460035556431,-0.3731869419844104,-0.5859301797536193,0.3761472428422358,0.14284315682521215,0.4194964470365465,0.408206230928368
65,Mauritius,2010,-1.3240128629153225,-0.6019332409715941,2.819401247922556,-0.3644322229385248,-0.1312739098766369,-1.5839330125106235,0.6809110574406034,-0.8127292534172156,0.2391916601228109
66,Mexico,2010,-0.14169201002092274,2.645993980762029,-0.31669374090787605,1.2596764339837125,-0.06307546939508955,-0.8475785382023873,0.898207709612203,-0.7783346040113461,0.40186818452315975
67,Morocco,2010,-0.3742210733738304,0.2721309746396575,-0.24770643679007717,-0.2357409465043056,-0.47694639741546024,-1.0647766205522988,0.6912585170678218,-0.5360766386308734,0.09341659280301788
68,Mozambique,2010,1.0746138598250556,0.04204023409351748,-0.48407277384942093,-0.3641228689086348,-0.6381487895733138,1.3138072568894146,-1.274758812103799,0.4733315504544292,0.9089118969398311
69,Myanmar,2010,-0.9009888361233022,0.7715962407032299,-0.22395670914296606,-0.3033348020352597,-0.6001047575791958,-0.9800163932937966,-0.002021277955855231,-0.07399200096071258,0.19482533528635215
70,Namibia,2010,-0.0343709038580424,-0.5761181822761734,-0.6433090430262419,-0.36242142174424014,-0.319153927281684,-0.04765389345027434,-0.8505129673878175,-0.1996072422691059,0.9553909039113595
71,Nepal,2010,-0.5978067112131648,0.12060780403610188,0.41050030085843037,-0.3551516020418263,-0.6265817991779141,0.047701362215540284,0.15319061645243062,-0.3341950008138129,0.357501859686701
72,Netherlands,2010,-1.078068661292055,-0.16840861396697648,2.140837600862239,0.9131999205069685,2.696955533622827,-1.2078095040510208,1.4362756102275942,-0.9697483050527071,-0.356584701966778
73,Nicaragua,2010,-0.4189382009416973,-0.4759445305993783,-0.3885083935550929,-0.3663502179238425,-0.5638659784213539,-0.6250829416488193,1.0948094425293657,-0.6691689776361948,0.14200828190961556
74,Niger,2010,1.852691879505939,-0.17682656788939624,-0.5847263814967013,-0.37105239917816973,-0.6428959359205588,2.0183766459757124,-0.8298180481333798,0.8023238491192686,1.7053930618610191
75,Nigeria,2010,0.8510282219857214,3.824507529900795,0.32567984497589075,0.1908582607139354,-0.5103770054946501,0.8264359501530277,-0.6539112344706555,0.907003216876263,0.9955318644776792
76,Norway,2010,-0.4189382009416973,-0.4997954000462343,-0.5824645026731669,0.2836644696809204,5.204251139562068,-1.1018592199778932,1.4673179891092512,-0.9891887590647204,-0.6821490189809823
77,Pakistan,2010,0.32336611668489257,4.161225686797585,0.5914506067411816,-0.10612160798041656,-0.59662797433896,-0.18538926274533982,-0.15723317236414108,0.34023921144910774,-0.07559797800253922
78,Panama,2010,0.04611992576411802,-0.5348702080563166,-0.38115728737860616,-0.3344248820391997,-0.12592501258396652,-0.8899586518316381,1.136199281038241,-0.7424445350660908,0.866658254238442
79,Papua New Guinea,2010,0.5111780524699333,-0.4375025410203281,-0.5694586994378441,-0.35778111129589085,-0.5324412068269154,-0.015868808228336383,-0.8401655077605982,-0.06202864464562755,0.8962358041294143
